no2 cars temp windspeed tempdiff winddir hour day
152.400206768452 2645.98850401518 -6.9 2.2 1 158 7 148
5.50001049269867 166.000367133220 -4.4 4.2 -0.1 55 4 119
41.2998967514925 164.000585837878 5.8 3 0 78 3 184
50.2002496603971 314.999168771022 -7.4 0.9 2.1 293 11 93
169.099956726549 1430.00039574690 -1.7 1.3 1.4 114 21 50
28.6000938703360 3101.00025086952 4.9 5.1 -0.7 338 9 172
32.5999253991366 128.999689837717 -6.3 3.1 0.6 73 2 143
48.4998158000931 1856.00201683065 -5.5 3 1.6 75 21 98
59.1999087201847 2317.00341889271 6.1 6 0.1 180 15 128
25.5000394698388 1022.99512444310 2.6 2.3 0.6 193 23 163
265.700570520748 2218.99573301668 -0.2 0.6 1.4 220 12 79
75.7001392545625 2153.99599848273 3.2 1.7 1.1 249 14 52
12.3000090727494 200.999013482547 -0.6 2.8 0 76 5 56
80.0002692265425 1283.00466420662 3.3 1.7 0.5 90 22 191
66.9000690987588 2903.98729228443 7.4 1.7 -0.2 165 9 208
27.3000900303365 247.000410853231 -1.4 5.4 0.5 88 2 167
55.5998220104215 298.998931558094 2.7 1.2 1.7 185 1 180
57.9998253885705 1987.99127823269 4.9 2.9 -0.1 77 11 170
64.9001542214014 2583.00828344673 6.3 3.5 -0.1 77 7 185
59.8002594753591 1979.99579510107 7.5 6.1 -0.5 238 14 162
16.1000117209585 129.999421442062 2.1 3 0.6 217 2 177
21.4999368947198 701.997610377948 3.7 2.8 1.1 241 23 132
60.6997755278421 2980.98779677065 4.3 4.6 -0.2 215 17 176
26.6999048038241 2411.00752671694 0 2.7 -0.1 82 18 70
42.4998267733123 2978.99120388012 4.8 2.6 0.3 194 16 126
45.3999044309531 1198.00146314777 0.7 1.1 0.5 295 22 114
137.599872651363 3157.98675280016 2.3 1.3 0.5 152 9 36
44.500036081852 1142.99809828411 -0.7 2.7 1.2 73 22 72
75.6002809916993 3577.00093267062 4.1 2.1 0.3 177 8 127
5.70002180345083 75.0001414849102 1.7 2.3 0 75 3 64
90.0999851682535 3503.01743378258 -2.2 1.7 1.1 69 8 73
76.7996436370283 3737.00586901735 -5.6 2.5 0 87 17 68
44.2997928071212 2446.00167246012 2.5 5 0.1 135 7 128
116.600084661379 2176.99333570259 1.8 1.8 -1.1 269 10 138
97.4003690835364 2900.9977252647 6.3 4.2 -0.6 81 9 194
51.2999614133486 334.99982183865 -9.1 2.1 0.6 79 3 83
35.0000678479363 166.000367133220 0.7 1.1 1.6 48 4 161
14.8000417246618 261.99882001725 4.8 1.6 0.6 220 2 204
131.800577012647 2545.01036075522 0.4 2.9 1.9 279 18 43
4.69998820904953 242.99964926850 7.1 5.4 1.5 255 6 42
13.600002818709 331.000537750629 2.2 1 1.3 299 6 140
45.3001344284483 1953.99251110862 -0.2 2.8 -0.1 85 16 111
24.7999094015263 244.000433028843 4.2 4.4 1.5 254 5 80
41.2998967514925 3041.99856168422 -5.2 4.3 -0.1 17 16 116
116.999539629568 2002.99732466315 -3.9 2.8 0 76 10 68
55.4000225060752 3852.00857872935 8.4 3.1 -0.5 225 17 207
3.90001344279433 81.0000684715614 1.3 4.4 0 115 4 59
56.2001822625355 1431.00174645578 0.9 0.9 0.4 90 21 75
41.1000772063325 1979.00604466175 11.7 6.4 -0.2 235 13 34
91.1995533873715 3538.01105725887 -5.6 3.5 0.6 79 8 101
54.2997704776491 2349.99857322565 12.2 6.2 -2.1 221 14 193
11.1000542977998 1375.00136111225 -6.5 3.8 -0.1 52 21 89
49.9998497288185 1871.0031315438 1.6 1.7 -1.5 336 11 135
50.4998315180747 2035.99515906879 -12.6 2.1 0.5 81 15 91
324.099316101916 2625.01004057668 1.7 1.2 1.4 97 15 78
59.8002594753591 3109.01116114737 6.2 1.2 1.3 261 18 33
37.6999964390857 1284.00579823621 -1.1 1.6 -0.1 65 22 150
256.500342527552 3435.98871927267 -5.1 1.5 1.5 237 8 152
14.0000373854363 90.000029670281 3.9 3.6 0.1 68 3 198
54.1999507622708 717.002982296274 6.2 1.3 1.1 226 24 200
38.8998346510622 103.999906489339 -3.3 1.9 1.3 88 3 51
16.8999387895103 146.000493231416 -5.6 4.3 -0.1 78 5 85
14.7000368414112 483.001616288512 8.9 4.8 1 215 1 34
62.8003093865853 146.999619744018 1.3 2.3 2.2 277 2 53
42.1999906720301 1144.00437930932 -5.2 2.5 -0.3 73 11 85
72.2997014620072 1560.99700207829 2.4 1.1 0.9 77 21 187
55.9999053189117 1972.99900161763 2.1 3.4 -0.7 354 11 40
31.200059441815 280.998687920281 -13.8 1 1.8 61 7 91
51.5999136997163 192.999963541361 -0.9 1.1 2.1 271 5 48
67.9002692535941 1410.99442394670 7.1 2.4 0.4 63 21 197
31.5000773063999 180.000566840655 -18.6 2.7 0.8 86 5 92
23.9000368314230 1041.00305157629 -3.4 0.6 -0.5 97 11 119
101.899802290889 1264.00432957802 -1.6 2.1 2 85 22 78
25.1998993383631 952.004726890356 -4.8 3.1 -0.1 86 23 115
19.7000268758627 220.999402965383 0.7 1.3 0.8 208 6 180
46.6998055100894 171.999229989810 -9 1.3 0.4 77 2 88
70.8999692621566 3523.00641770967 6.3 4.8 -0.3 61 15 194
29.900045436175 747.997772478408 2.2 3.9 0 67 6 199
9.5999702546977 226.999996031722 1.1 3.8 -0.1 79 5 70
31.200059441815 1245.99539062167 0.1 4.2 1 235 22 141
61.9997281278004 1669.00012740840 -4.6 3 -0.1 82 20 115
19.7000268758627 984.004037308865 0.1 1 0.5 334 23 66
38.5000677102506 2900.01155369678 -4.8 3.7 0 16 18 116
9.79997662039793 146.000493231416 1.8 3.5 0.3 121 4 128
28.7000825767468 1202.99552969077 4.6 3.4 0.2 194 22 109
66.7997942200713 1907.00647313099 -0.9 1.1 -0.3 92 13 51
11.1999576831082 1391.00251503676 11.9 4.2 -1.3 233 15 180
76.1998885429053 3644.00999047752 -9 2.4 0 84 8 100
4.90002349498508 335.999610252589 1.3 3.8 0.3 33 5 174
14.1999721026049 157.000658561697 -7 3.2 -0.1 67 20 85
53.6000499511091 2081.99115323662 6.7 2.3 -0.4 247 10 33
45.3001344284483 2312.0040927239 1.6 2.1 -0.1 146 17 167
74.8997086003812 171.999229989810 -6.5 1.7 0.8 184 5 154
52.7999371304324 1554.99871772679 -0.4 1.9 1 77 21 72
47.5000137255737 86.0002325225127 -13.8 4.2 0.2 80 4 95
13.0000083530027 98.0002470905955 1.8 2.3 0.1 59 4 164
74.4003019277876 2168.99672301898 3.5 5 -1 78 11 166
19.0000193958475 685.000795790838 9.5 6.5 -0.8 210 10 35
65.0001774570258 2340.00887247373 5.2 4.6 -0.8 214 14 176
56.4000474603936 3505.99626442497 4.7 5.9 0.4 207 17 128
